objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237665328785326102,202.743900840543,30.1510311106678,-2.046932,3.537121,18.37966,17.12812,16.62864,16.39726,16.28423,0.01473662,0.004343529,0.004035868,0.004379893,0.0079043
1237665328785326103,202.741736579592,30.1514873332335,0,0,22.02996,21.17594,20.87474,20.53487,21.31096,0.1964187,0.03963817,0.04369809,0.05211139,0.3808806
1237665328785326105,202.741439368855,30.1361189139001,3.986762,16.27719,16.58721,15.08188,14.5985,14.40733,14.33776,0.006165004,0.003122495,0.003090162,0.003342078,0.003892576
1237665328785326109,202.750137283932,30.1645769040179,-10.50717,2.676215,17.77828,15.7945,15.07783,14.79692,14.65539,0.01064048,0.003353322,0.003197203,0.003420698,0.004214658
1237665328785326112,202.763735779067,30.1462649340627,1.718625,7.036613,17.63828,15.8592,15.18298,14.93001,14.80677,0.009947049,0.00336952,0.003211188,0.003438985,0.004357024
1237665328785326126,202.802405665866,30.0973651616251,-0.08342206,22.84028,17.90224,16.69628,16.30836,16.1635,16.12769,0.0114725,0.003875801,0.003731172,0.004052496,0.007326886
1237665328785326169,202.699376101464,30.1170464498769,-2.941324,0.1884111,21.33626,19.00538,17.65955,17.04917,16.74338,0.1114444,0.009524517,0.005667697,0.005388761,0.01013347
1237665328785326172,202.722028103427,30.1519420873616,2.800418,24.16577,19.7556,18.33694,17.73196,17.45639,17.3264,0.03394107,0.006814925,0.005839272,0.006371024,0.0146794
1237665328785326174,202.713658010678,30.0963226078558,14.08338,40.45889,22.18217,19.49781,17.99087,16.85609,16.25658,0.2268623,0.01265449,0.00655911,0.005055666,0.007752821
1237665328785326184,202.749509567417,30.0915510530341,2.493861,1.120617,19.53005,18.18962,17.65417,17.45444,17.36249,0.02981086,0.006396743,0.005645586,0.006348798,0.01505892
1237665328785326190,202.783433481349,30.1698843838297,2.942584,7.153423,21.32999,18.76866,17.50486,16.97082,16.65465,0.1078179,0.008445286,0.005338365,0.005199052,0.009761682
1237665328785326193,202.799760702405,30.1747853713206,3.868551,4.423318,21.96607,19.8632,18.96842,18.62481,18.42684,0.1837647,0.01594175,0.01112691,0.01216213,0.03391428
1237665328785326194,202.801814966254,30.1751427804406,0,0,25.18978,22.29354,20.99473,19.73554,19.10645,0.8714206,0.101998,0.04908057,0.02770581,0.06019658
1237665328785326200,202.810539422616,30.1443984602614,-1.801498,20.37138,21.64329,19.30498,18.00388,17.34425,16.96063,0.1389725,0.01128326,0.006574322,0.006023461,0.01172279
1237665328785326206,202.844856627141,30.1411621946845,-1.041824,25.87056,20.73011,18.00601,16.67533,15.97849,15.57144,0.06781846,0.005905743,0.004066013,0.003831181,0.005704637
1237665328785326208,202.859182194367,30.1460276516095,3.235773,-0.06546661,21.82473,19.6217,18.78004,18.44413,18.22749,0.1594447,0.01364086,0.009865887,0.01089768,0.02876426
1237665328785326210,202.712355007674,30.1758135082057,-5.383127,23.51766,22.52503,20.4404,19.56903,19.2234,19.02087,0.2904984,0.02296266,0.01640675,0.01837406,0.05412046
1237665328785326221,202.799749909373,30.112775969256,-8.08823,-7.704057,22.4231,20.06627,18.623,17.86445,17.40293,0.2741916,0.01806529,0.009113508,0.007772449,0.0155772
1237665328785326222,202.813758122662,30.0927261989501,-11.80264,22.03491,25.64809,20.89293,19.49678,18.87446,18.46767,0.6726305,0.03241348,0.01561631,0.01450657,0.03421186
1237665328785326233,202.780300533671,30.1683821990732,-48.46695,-17.2921,24.93398,22.42732,20.74941,18.94118,17.90383,0.9446482,0.1124469,0.03937024,0.01513913,0.02274492
1237665328785326238,202.700762004234,30.1454100391994,-4.962602,25.69829,21.7939,20.28454,19.65733,19.37653,19.24842,0.1644868,0.02077401,0.01774791,0.02087969,0.06577832
1237665328785326243,202.708580020662,30.1320290133324,0,0,21.68335,21.86848,21.78114,21.85854,21.39318,0.1499206,0.06815159,0.09529924,0.1642967,0.4030605
1237665328785326257,202.74495211701,30.1121698167247,0,0,21.1281,21.05181,20.76407,20.5215,20.32535,0.1006006,0.03879812,0.04388199,0.05725675,0.1828208
1237665328785326283,202.793748260049,30.1101753707103,0,0,21.91572,21.0466,20.73655,20.72698,20.66835,0.1781681,0.03597301,0.03911742,0.06190207,0.2218875
1237665328785326286,202.827050210663,30.1520433880486,6.224494,6.91737,21.17935,20.68067,20.49134,20.47256,20.21718,0.09525613,0.02776403,0.03229849,0.04987504,0.1538967
1237665328785326300,202.848931253987,30.1108735858688,0,0,21.49067,21.31948,21.14927,20.96153,21.08712,0.1244376,0.04525464,0.05511888,0.07604347,0.3178792
